school_year,division_number,division_name,school_number,school_name,ft_count,pt_count,total_count
2021-2022,17,Caroline County,630,Madison Elementary,441,NA,441
2021-2022,18,Carroll County,1230,Carroll County High,1050,2,1052
2021-2022,18,Carroll County,450,Carroll County Middle,766,NA,766
2021-2022,18,Carroll County,1180,Fancy Gap Elementary,143,NA,143
2021-2022,18,Carroll County,1150,Gladesboro Elementary,102,NA,102
2021-2022,18,Carroll County,1210,Gladeville Elementary,249,NA,249
2021-2022,18,Carroll County,1170,Hillsville Elementary,474,NA,474
2021-2022,18,Carroll County,1160,Laurel Elementary,218,NA,218
2021-2022,18,Carroll County,1130,Oakland Elementary,197,NA,197
2021-2022,18,Carroll County,1110,St. Paul,318,NA,318
2021-2022,19,Charles City County,80,Charles City County Elementary,292,NA,292
2021-2022,19,Charles City County,100,Charles City County High,236,NA,236
2021-2022,20,Charlotte County,470,Bacon District Elementary,160,NA,160
2021-2022,20,Charlotte County,210,Central Middle,379,NA,379
2021-2022,20,Charlotte County,100,Eureka Elementary,441,NA,441
2021-2022,20,Charlotte County,450,Phenix Elementary,214,NA,214
2021-2022,20,Charlotte County,460,Randolph-Henry High,508,NA,508
2021-2022,104,Charlottesville City,100,Buford Middle,599,NA,599
2021-2022,104,Charlottesville City,70,Burnley-Moran Elementary,322,NA,322
2021-2022,104,Charlottesville City,140,Charlottesville High,1231,2,1233
2021-2022,104,Charlottesville City,50,Clark Elementary,324,NA,324
2021-2022,104,Charlottesville City,90,Greenbrier Elementary,282,NA,282
2021-2022,104,Charlottesville City,120,Jackson-Via Elementary,325,NA,325
2021-2022,104,Charlottesville City,10,Johnson Elementary,299,NA,299
2021-2022,104,Charlottesville City,40,Venable Elementary,283,NA,283
2021-2022,104,Charlottesville City,110,Walker Upper Elementary,623,NA,623
2021-2022,136,Chesapeake City,630,B.M. Williams Primary,868,NA,868
2021-2022,136,Chesapeake City,860,Butts Road Intermediate,617,NA,617
2021-2022,136,Chesapeake City,770,Butts Road Primary,554,NA,554
2021-2022,136,Chesapeake City,90,Camelot Elementary,483,NA,483
2021-2022,136,Chesapeake City,900,Cedar Road Elementary,823,NA,823
2021-2022,136,Chesapeake City,700,Crestwood Intermediate,701,NA,701
2021-2022,136,Chesapeake City,560,Crestwood Middle,551,NA,551
2021-2022,136,Chesapeake City,660,Deep Creek Central Elementary,843,NA,843
2021-2022,136,Chesapeake City,210,Deep Creek Elementary,770,NA,770
2021-2022,136,Chesapeake City,100,Deep Creek High,1638,NA,1638
2021-2022,136,Chesapeake City,610,Deep Creek Middle,802,NA,802
2021-2022,136,Chesapeake City,640,Edwin W. Chittum Elementary,759,NA,759
