school_name,sch_id
Community PK School,1099990
Home Educational Services,1099991
Homebased,1099999
Homebound,1099998
Jessie Thackrey Preschool,1090270
Mary Ellen Henderson Middle School,1090252
Meridian High School,1090251
Mount Daniel Elementary School,1090240
Oak Street Elementary School,1090260
Special Situation Schools,1098888
Suspension Services,1099992
Alternative Education Center,0300703
Auburn Middle,0300854
C. Hunter Ritchie Elementary,0300460
C.M. Bradley Elementary,0300730
Cedar Lee Middle,0300520
Claude Thompson Elementary,0300120
Community PK School,0309990
Fauquier High,0300701
Grace Miller Elementary,0300450
Greenville Elementary,0300511
H.M. Pearson Elementary,0300750
Home Educational Services,0309991
Homebased,0309999
Homebound,0309998
James G. Brumfield Elementary,0300853
Kettle Run High,0300510
Liberty High,0300851
Local or Regional Jail,0309997
Margaret M. Pierce Elementary,0300530
Marshall Middle,0300010
Mary Walter Elementary,0300020
P.B. Smith Elementary,0300720
Special Situation Schools,0308888
Suspension Services,0309992
W.C. Taylor Middle,0300670
W.G. Coleman Elementary,0300740
Check Elementary,0310090
Community PK School,0319990
Floyd County High,0310660
Floyd Elementary,0310360
Home Educational Services,0319991
Homebased,0319999
Homebound,0319998
Indian Valley Elementary,0310650
Special Situation Schools,0318888
Suspension Services,0319992
Willis Elementary,0310500
Carysbrook Elementary,0320300
Central Elementary,0320310
Community PK School,0329990
Fluvanna County High,0320260
Fluvanna Middle,0320320
Home Educational Services,0329991
Homebased,0329999
Homebound,0329998
Special Situation Schools,0328888
Suspension Services,0329992
Community PK School,1359990
Franklin High,1350020
Home Educational Services,1359991
Homebased,1359999
Homebound,1359998
J.P. King,1350012
S.P. Morton Elementary,1350010
Special Situation Schools,1358888
Suspension Services,1359992
Benjamin Franklin Middle,0330031
Boones Mill Elementary,0331370
Callaway Elementary,0330350
Community PK School,0339990
Dudley Elementary,0330020
Ferrum Elementary,0331360
Franklin County High,0331311
Franklin County High-Ramsey,0331484
Franklin County Secondary Learning Center,0331485
Glade Hill Elementary,0330690
Home Educational Services,0339991
Homebased,0339999
Homebound,0339998
Lee M. Waid Elementary,0330660
Local or Regional Jail,0339997
Rocky Mount Elementary,0331380
Snow Creek Elementary,0331170
Sontag Elementary,0330960
Special Situation Schools,0338888
Suspension Services,0339992
Windy Gap Elementary,0330980
Admiral Richard E. Byrd Middle,0340586
Apple Pie Ridge Elementary,0340010
Armel Elementary,0340320
Bass-Hoover Elementary,0340020
Community PK School,0349990
Dowell J. Howard School,0340585
Evendale Elementary,0340587
Frederick County Middle,0340460
Gainesboro Elementary,0340380
Greenwood Mill Elementary,0340590
Home Educational Services,0349991
Homebased,0349999
Homebound,0349998
Indian Hollow Elementary,0340040
James Wood High,0340030
James Wood Middle,0340420
Jordan Springs Elementary,0340591
Local or Regional Jail,0349997
Middletown Elementary,0340340
Millbrook High,0340584
Orchard View Elementary,0340583
Redbud Run Elementary,0340582
Robert E. Aylor Middle,0340480
Sherando High,0340581
Special Situation Schools,0348888
Stonewall Elementary,0340410
