school_year,division_number,division_name,school_number,school_name,sanction_code,sanction_description,n_sanctions,n_students_sanctioned,locality_grouping,region_name,region_number
2022-2023,29,Fairfax County,33,Herndon Middle,LOP,Loss of School Privileges or Participation in Extr,15,14,school,Northern Virginia,4
2022-2023,29,Fairfax County,33,Herndon Middle,OSS,Out of school suspension by Division Admin,13,13,school,Northern Virginia,4
2022-2023,29,Fairfax County,33,Herndon Middle,OSS,Out of school suspension by School Admin,129,86,school,Northern Virginia,4
2022-2023,29,Fairfax County,1330,Hollin Meadows Elementary,ALT,Alternative Program Placement,1,1,school,Northern Virginia,4
2022-2023,29,Fairfax County,1330,Hollin Meadows Elementary,CR,Class Removal (less than 1/2 day),7,6,school,Northern Virginia,4
2022-2023,29,Fairfax County,1330,Hollin Meadows Elementary,DS,Detention Sanction Outside of Regular School Hours,1,1,school,Northern Virginia,4
2022-2023,29,Fairfax County,1330,Hollin Meadows Elementary,ISS,In-School Suspension (1/2 day or more),16,13,school,Northern Virginia,4
2022-2023,29,Fairfax County,1330,Hollin Meadows Elementary,LOP,Loss of School Privileges or Participation in Extr,4,4,school,Northern Virginia,4
2022-2023,29,Fairfax County,1330,Hollin Meadows Elementary,OSS,Out of school suspension by School Admin,10,7,school,Northern Virginia,4
2022-2023,29,Fairfax County,1330,Hollin Meadows Elementary,SBP,Suspension of Bus Privileges,1,1,school,Northern Virginia,4
2022-2023,29,Fairfax County,1521,Holmes Middle,ALT,Alternative Program Placement,4,4,school,Northern Virginia,4
2022-2023,29,Fairfax County,1521,Holmes Middle,CR,Class Removal (less than 1/2 day),139,93,school,Northern Virginia,4
2022-2023,29,Fairfax County,1521,Holmes Middle,ISS,In-School Suspension (1/2 day or more),160,107,school,Northern Virginia,4
2022-2023,29,Fairfax County,1521,Holmes Middle,LOP,Loss of School Privileges or Participation in Extr,88,70,school,Northern Virginia,4
2022-2023,29,Fairfax County,1521,Holmes Middle,OSS,Out of school suspension by Division Admin,2,2,school,Northern Virginia,4
2022-2023,29,Fairfax County,1521,Holmes Middle,OSS,Out of school suspension by School Admin,86,71,school,Northern Virginia,4
2022-2023,29,Fairfax County,350,Hughes Middle,ALT,Alternative Program Placement,8,8,school,Northern Virginia,4
2022-2023,29,Fairfax County,350,Hughes Middle,CR,Class Removal (less than 1/2 day),119,72,school,Northern Virginia,4
2022-2023,29,Fairfax County,350,Hughes Middle,DS,Detention Sanction Outside of Regular School Hours,31,28,school,Northern Virginia,4
2022-2023,29,Fairfax County,350,Hughes Middle,ISS,In-School Suspension (1/2 day or more),141,108,school,Northern Virginia,4
2022-2023,29,Fairfax County,350,Hughes Middle,LOP,Loss of School Privileges or Participation in Extr,86,56,school,Northern Virginia,4
2022-2023,29,Fairfax County,350,Hughes Middle,OSS,Out of school suspension by Division Admin,6,6,school,Northern Virginia,4
2022-2023,29,Fairfax County,350,Hughes Middle,OSS,Out of school suspension by School Admin,66,51,school,Northern Virginia,4
2022-2023,29,Fairfax County,350,Hughes Middle,SBCS,School-based Community Service Assigned,4,4,school,Northern Virginia,4
2022-2023,29,Fairfax County,1880,Hunt Valley Elementary,CR,Class Removal (less than 1/2 day),7,6,school,Northern Virginia,4
2022-2023,29,Fairfax County,1880,Hunt Valley Elementary,ISS,In-School Suspension (1/2 day or more),9,9,school,Northern Virginia,4
2022-2023,29,Fairfax County,1880,Hunt Valley Elementary,LOP,Loss of School Privileges or Participation in Extr,4,4,school,Northern Virginia,4
2022-2023,29,Fairfax County,1880,Hunt Valley Elementary,OSS,Out of school suspension by School Admin,4,4,school,Northern Virginia,4
2022-2023,29,Fairfax County,1950,Hunters Woods Elementary School for the Arts and Sciences,CR,Class Removal (less than 1/2 day),28,22,school,Northern Virginia,4
2022-2023,29,Fairfax County,1950,Hunters Woods Elementary School for the Arts and Sciences,ISS,In-School Suspension (1/2 day or more),4,4,school,Northern Virginia,4
2022-2023,29,Fairfax County,1950,Hunters Woods Elementary School for the Arts and Sciences,LOP,Loss of School Privileges or Participation in Extr,26,18,school,Northern Virginia,4
2022-2023,29,Fairfax County,1950,Hunters Woods Elementary School for the Arts and Sciences,OSS,Out of school suspension by School Admin,2,2,school,Northern Virginia,4
2022-2023,29,Fairfax County,1950,Hunters Woods Elementary School for the Arts and Sciences,SBCS,School-based Community Service Assigned,1,1,school,Northern Virginia,4
2022-2023,29,Fairfax County,1950,Hunters Woods Elementary School for the Arts and Sciences,SBP,Suspension of Bus Privileges,1,1,school,Northern Virginia,4
2022-2023,29,Fairfax County,1980,Hutchison Elementary,ALT,Alternative Program Placement,1,1,school,Northern Virginia,4
2022-2023,29,Fairfax County,1980,Hutchison Elementary,CR,Class Removal (less than 1/2 day),37,29,school,Northern Virginia,4
2022-2023,29,Fairfax County,1980,Hutchison Elementary,ISS,In-School Suspension (1/2 day or more),54,36,school,Northern Virginia,4
2022-2023,29,Fairfax County,1980,Hutchison Elementary,OSS,Out of school suspension by School Admin,20,16,school,Northern Virginia,4
2022-2023,29,Fairfax County,1980,Hutchison Elementary,SBP,Suspension of Bus Privileges,1,1,school,Northern Virginia,4
2022-2023,29,Fairfax County,1420,Hybla Valley Elementary,CR,Class Removal (less than 1/2 day),9,9,school,Northern Virginia,4
2022-2023,29,Fairfax County,1420,Hybla Valley Elementary,ISS,In-School Suspension (1/2 day or more),9,8,school,Northern Virginia,4
2022-2023,29,Fairfax County,1420,Hybla Valley Elementary,OSS,Out of school suspension by School Admin,4,4,school,Northern Virginia,4
2022-2023,29,Fairfax County,1015,Interagency Alternative Secondary Center,ALT,Alternative Program Placement,7,6,school,Northern Virginia,4
2022-2023,29,Fairfax County,1015,Interagency Alternative Secondary Center,CR,Class Removal (less than 1/2 day),2,2,school,Northern Virginia,4
2022-2023,29,Fairfax County,1015,Interagency Alternative Secondary Center,ISS,In-School Suspension (1/2 day or more),10,9,school,Northern Virginia,4
2022-2023,29,Fairfax County,1015,Interagency Alternative Secondary Center,LOP,Loss of School Privileges or Participation in Extr,13,12,school,Northern Virginia,4
2022-2023,29,Fairfax County,1015,Interagency Alternative Secondary Center,OSS,Out of school suspension by Division Admin,3,2,school,Northern Virginia,4
2022-2023,29,Fairfax County,1015,Interagency Alternative Secondary Center,OSS,Out of school suspension by School Admin,2,2,school,Northern Virginia,4
2022-2023,29,Fairfax County,1120,Irving Middle,ALT,Alternative Program Placement,1,1,school,Northern Virginia,4
2022-2023,29,Fairfax County,1120,Irving Middle,CR,Class Removal (less than 1/2 day),65,39,school,Northern Virginia,4
2022-2023,29,Fairfax County,1120,Irving Middle,DS,Detention Sanction Outside of Regular School Hours,2,2,school,Northern Virginia,4
2022-2023,29,Fairfax County,1120,Irving Middle,ISS,In-School Suspension (1/2 day or more),41,36,school,Northern Virginia,4
2022-2023,29,Fairfax County,1120,Irving Middle,LOP,Loss of School Privileges or Participation in Extr,28,24,school,Northern Virginia,4
2022-2023,29,Fairfax County,1120,Irving Middle,OSS,Out of school suspension by Division Admin,1,1,school,Northern Virginia,4
2022-2023,29,Fairfax County,1120,Irving Middle,OSS,Out of school suspension by School Admin,22,19,school,Northern Virginia,4
2022-2023,29,Fairfax County,1120,Irving Middle,SBCS,School-based Community Service Assigned,13,12,school,Northern Virginia,4
2022-2023,29,Fairfax County,2235,Island Creek Elementary,LOP,Loss of School Privileges or Participation in Extr,4,4,school,Northern Virginia,4
2022-2023,29,Fairfax County,2235,Island Creek Elementary,OSS,Out of school suspension by School Admin,7,7,school,Northern Virginia,4
2022-2023,29,Fairfax County,673,Jackson Middle,ALT,Alternative Program Placement,23,22,school,Northern Virginia,4
2022-2023,29,Fairfax County,673,Jackson Middle,CR,Class Removal (less than 1/2 day),190,126,school,Northern Virginia,4
2022-2023,29,Fairfax County,673,Jackson Middle,DS,Detention Sanction Outside of Regular School Hours,22,20,school,Northern Virginia,4
2022-2023,29,Fairfax County,673,Jackson Middle,ISS,In-School Suspension (1/2 day or more),265,167,school,Northern Virginia,4
2022-2023,29,Fairfax County,673,Jackson Middle,LOP,Loss of School Privileges or Participation in Extr,73,63,school,Northern Virginia,4
2022-2023,29,Fairfax County,673,Jackson Middle,OSS,Out of school suspension by Division Admin,20,20,school,Northern Virginia,4
2022-2023,29,Fairfax County,673,Jackson Middle,OSS,Out of school suspension by School Admin,187,129,school,Northern Virginia,4
2022-2023,29,Fairfax County,673,Jackson Middle,SBCS,School-based Community Service Assigned,4,4,school,Northern Virginia,4
2022-2023,29,Fairfax County,1110,Johnson Middle,ALT,Alternative Program Placement,5,5,school,Northern Virginia,4
2022-2023,29,Fairfax County,1110,Johnson Middle,CR,Class Removal (less than 1/2 day),82,59,school,Northern Virginia,4
2022-2023,29,Fairfax County,1110,Johnson Middle,DS,Detention Sanction Outside of Regular School Hours,43,36,school,Northern Virginia,4
2022-2023,29,Fairfax County,1110,Johnson Middle,ISS,In-School Suspension (1/2 day or more),99,64,school,Northern Virginia,4
2022-2023,29,Fairfax County,1110,Johnson Middle,LOP,Loss of School Privileges or Participation in Extr,53,43,school,Northern Virginia,4
2022-2023,29,Fairfax County,1110,Johnson Middle,OSS,Out of school suspension by School Admin,19,15,school,Northern Virginia,4
2022-2023,29,Fairfax County,1110,Johnson Middle,SBP,Suspension of Bus Privileges,1,1,school,Northern Virginia,4
2022-2023,29,Fairfax County,1070,Justice High,ALT,Alternative Program Placement,32,32,school,Northern Virginia,4
2022-2023,29,Fairfax County,1070,Justice High,CR,Class Removal (less than 1/2 day),168,127,school,Northern Virginia,4
2022-2023,29,Fairfax County,1070,Justice High,DS,Detention Sanction Outside of Regular School Hours,78,75,school,Northern Virginia,4
2022-2023,29,Fairfax County,1070,Justice High,ISS,In-School Suspension (1/2 day or more),251,154,school,Northern Virginia,4
2022-2023,29,Fairfax County,1070,Justice High,LOP,Loss of School Privileges or Participation in Extr,51,38,school,Northern Virginia,4
2022-2023,29,Fairfax County,1070,Justice High,OSS,Out of school suspension by Division Admin,17,17,school,Northern Virginia,4
2022-2023,29,Fairfax County,1070,Justice High,OSS,Out of school suspension by School Admin,115,88,school,Northern Virginia,4
2022-2023,29,Fairfax County,1070,Justice High,SBCS,School-based Community Service Assigned,10,10,school,Northern Virginia,4
2022-2023,29,Fairfax County,1240,Keene Mill Elementary,CR,Class Removal (less than 1/2 day),8,8,school,Northern Virginia,4
2022-2023,29,Fairfax County,1240,Keene Mill Elementary,ISS,In-School Suspension (1/2 day or more),10,9,school,Northern Virginia,4
2022-2023,29,Fairfax County,1240,Keene Mill Elementary,LOP,Loss of School Privileges or Participation in Extr,17,17,school,Northern Virginia,4
2022-2023,29,Fairfax County,1240,Keene Mill Elementary,OSS,Out of school suspension by School Admin,2,2,school,Northern Virginia,4
2022-2023,29,Fairfax County,980,Kent Gardens Elementary,CR,Class Removal (less than 1/2 day),6,5,school,Northern Virginia,4
2022-2023,29,Fairfax County,980,Kent Gardens Elementary,ISS,In-School Suspension (1/2 day or more),2,2,school,Northern Virginia,4
2022-2023,29,Fairfax County,980,Kent Gardens Elementary,LOP,Loss of School Privileges or Participation in Extr,3,3,school,Northern Virginia,4
2022-2023,29,Fairfax County,980,Kent Gardens Elementary,SBP,Suspension of Bus Privileges,1,1,school,Northern Virginia,4
2022-2023,29,Fairfax County,1901,Key Center,OSS,Out of school suspension by School Admin,23,8,school,Northern Virginia,4
2022-2023,29,Fairfax County,1900,Key Middle,CR,Class Removal (less than 1/2 day),77,51,school,Northern Virginia,4
2022-2023,29,Fairfax County,1900,Key Middle,DS,Detention Sanction Outside of Regular School Hours,54,46,school,Northern Virginia,4
2022-2023,29,Fairfax County,1900,Key Middle,ISS,In-School Suspension (1/2 day or more),116,76,school,Northern Virginia,4
2022-2023,29,Fairfax County,1900,Key Middle,LOP,Loss of School Privileges or Participation in Extr,37,31,school,Northern Virginia,4
2022-2023,29,Fairfax County,1900,Key Middle,OSS,Out of school suspension by School Admin,87,66,school,Northern Virginia,4
2022-2023,29,Fairfax County,1900,Key Middle,SBCS,School-based Community Service Assigned,1,1,school,Northern Virginia,4
2022-2023,29,Fairfax County,1900,Key Middle,SBP,Suspension of Bus Privileges,1,1,school,Northern Virginia,4
2022-2023,29,Fairfax County,1761,Kilmer Center,OSS,Out of school suspension by School Admin,4,3,school,Northern Virginia,4
2022-2023,29,Fairfax County,1760,Kilmer Middle,ALT,Alternative Program Placement,5,5,school,Northern Virginia,4
2022-2023,29,Fairfax County,1760,Kilmer Middle,CR,Class Removal (less than 1/2 day),46,42,school,Northern Virginia,4
2022-2023,29,Fairfax County,1760,Kilmer Middle,DS,Detention Sanction Outside of Regular School Hours,23,21,school,Northern Virginia,4
2022-2023,29,Fairfax County,1760,Kilmer Middle,ISS,In-School Suspension (1/2 day or more),73,53,school,Northern Virginia,4
2022-2023,29,Fairfax County,1760,Kilmer Middle,LOP,Loss of School Privileges or Participation in Extr,28,24,school,Northern Virginia,4
2022-2023,29,Fairfax County,1760,Kilmer Middle,OSS,Out of school suspension by Division Admin,4,4,school,Northern Virginia,4
2022-2023,29,Fairfax County,1760,Kilmer Middle,OSS,Out of school suspension by School Admin,35,32,school,Northern Virginia,4
2022-2023,29,Fairfax County,1760,Kilmer Middle,SBCS,School-based Community Service Assigned,2,2,school,Northern Virginia,4
2022-2023,29,Fairfax County,1890,Kings Glen Elementary,CR,Class Removal (less than 1/2 day),13,8,school,Northern Virginia,4
2022-2023,29,Fairfax County,1890,Kings Glen Elementary,ISS,In-School Suspension (1/2 day or more),11,11,school,Northern Virginia,4
2022-2023,29,Fairfax County,1890,Kings Glen Elementary,LOP,Loss of School Privileges or Participation in Extr,6,5,school,Northern Virginia,4
2022-2023,29,Fairfax County,1890,Kings Glen Elementary,OSS,Out of school suspension by School Admin,7,5,school,Northern Virginia,4
2022-2023,29,Fairfax County,1890,Kings Glen Elementary,SBP,Suspension of Bus Privileges,1,1,school,Northern Virginia,4
2022-2023,29,Fairfax County,1440,Kings Park Elementary,CR,Class Removal (less than 1/2 day),4,3,school,Northern Virginia,4
2022-2023,29,Fairfax County,1440,Kings Park Elementary,ISS,In-School Suspension (1/2 day or more),2,1,school,Northern Virginia,4
2022-2023,29,Fairfax County,1440,Kings Park Elementary,OSS,Out of school suspension by School Admin,5,4,school,Northern Virginia,4
2022-2023,29,Fairfax County,1440,Kings Park Elementary,SBP,Suspension of Bus Privileges,3,3,school,Northern Virginia,4
2022-2023,29,Fairfax County,1570,Lake Anne Elementary,CR,Class Removal (less than 1/2 day),46,13,school,Northern Virginia,4
2022-2023,29,Fairfax County,1570,Lake Anne Elementary,ISS,In-School Suspension (1/2 day or more),26,11,school,Northern Virginia,4
2022-2023,29,Fairfax County,1570,Lake Anne Elementary,LOP,Loss of School Privileges or Participation in Extr,49,24,school,Northern Virginia,4
2022-2023,29,Fairfax County,1570,Lake Anne Elementary,OSS,Out of school suspension by School Admin,37,20,school,Northern Virginia,4
2022-2023,29,Fairfax County,90,Lake Braddock Secondary,ALT,Alternative Program Placement,7,7,school,Northern Virginia,4
2022-2023,29,Fairfax County,90,Lake Braddock Secondary,CR,Class Removal (less than 1/2 day),93,62,school,Northern Virginia,4
2022-2023,29,Fairfax County,90,Lake Braddock Secondary,DS,Detention Sanction Outside of Regular School Hours,455,276,school,Northern Virginia,4
2022-2023,29,Fairfax County,90,Lake Braddock Secondary,ISS,In-School Suspension (1/2 day or more),406,272,school,Northern Virginia,4
2022-2023,29,Fairfax County,90,Lake Braddock Secondary,LOP,Loss of School Privileges or Participation in Extr,103,86,school,Northern Virginia,4
2022-2023,29,Fairfax County,90,Lake Braddock Secondary,OSS,Out of school suspension by Division Admin,5,5,school,Northern Virginia,4
2022-2023,29,Fairfax County,90,Lake Braddock Secondary,OSS,Out of school suspension by School Admin,120,85,school,Northern Virginia,4
2022-2023,29,Fairfax County,90,Lake Braddock Secondary,SBP,Suspension of Bus Privileges,4,4,school,Northern Virginia,4
2022-2023,29,Fairfax County,2209,Lane Elementary,CR,Class Removal (less than 1/2 day),12,1,school,Northern Virginia,4
2022-2023,29,Fairfax County,2209,Lane Elementary,ISS,In-School Suspension (1/2 day or more),3,2,school,Northern Virginia,4
2022-2023,29,Fairfax County,2209,Lane Elementary,LOP,Loss of School Privileges or Participation in Extr,2,1,school,Northern Virginia,4
2022-2023,29,Fairfax County,2209,Lane Elementary,OSS,Out of school suspension by School Admin,1,1,school,Northern Virginia,4
2022-2023,29,Fairfax County,1460,Langley High,ALT,Alternative Program Placement,4,4,school,Northern Virginia,4
2022-2023,29,Fairfax County,1460,Langley High,CR,Class Removal (less than 1/2 day),15,10,school,Northern Virginia,4
2022-2023,29,Fairfax County,1460,Langley High,DS,Detention Sanction Outside of Regular School Hours,4,3,school,Northern Virginia,4
2022-2023,29,Fairfax County,1460,Langley High,ISS,In-School Suspension (1/2 day or more),43,41,school,Northern Virginia,4
2022-2023,29,Fairfax County,1460,Langley High,LOP,Loss of School Privileges or Participation in Extr,16,16,school,Northern Virginia,4
2022-2023,29,Fairfax County,1460,Langley High,OSS,Out of school suspension by Division Admin,1,1,school,Northern Virginia,4
2022-2023,29,Fairfax County,1460,Langley High,OSS,Out of school suspension by School Admin,11,11,school,Northern Virginia,4
2022-2023,29,Fairfax County,2348,Laurel Hill Elementary,CR,Class Removal (less than 1/2 day),41,25,school,Northern Virginia,4
2022-2023,29,Fairfax County,2348,Laurel Hill Elementary,ISS,In-School Suspension (1/2 day or more),9,9,school,Northern Virginia,4
2022-2023,29,Fairfax County,2348,Laurel Hill Elementary,OSS,Out of school suspension by School Admin,15,11,school,Northern Virginia,4
2022-2023,29,Fairfax County,1970,Laurel Ridge Elementary,ALT,Alternative Program Placement,1,1,school,Northern Virginia,4
2022-2023,29,Fairfax County,1970,Laurel Ridge Elementary,CR,Class Removal (less than 1/2 day),30,19,school,Northern Virginia,4
2022-2023,29,Fairfax County,1970,Laurel Ridge Elementary,ISS,In-School Suspension (1/2 day or more),2,2,school,Northern Virginia,4
2022-2023,29,Fairfax County,1970,Laurel Ridge Elementary,LOP,Loss of School Privileges or Participation in Extr,3,3,school,Northern Virginia,4
2022-2023,29,Fairfax County,1970,Laurel Ridge Elementary,OSS,Out of school suspension by Division Admin,1,1,school,Northern Virginia,4
2022-2023,29,Fairfax County,1970,Laurel Ridge Elementary,OSS,Out of school suspension by School Admin,13,10,school,Northern Virginia,4
2022-2023,29,Fairfax County,1850,Lees Corner Elementary,CR,Class Removal (less than 1/2 day),5,2,school,Northern Virginia,4
2022-2023,29,Fairfax County,1850,Lees Corner Elementary,ISS,In-School Suspension (1/2 day or more),9,6,school,Northern Virginia,4
2022-2023,29,Fairfax County,1850,Lees Corner Elementary,LOP,Loss of School Privileges or Participation in Extr,3,3,school,Northern Virginia,4
2022-2023,29,Fairfax County,1850,Lees Corner Elementary,OSS,Out of school suspension by School Admin,12,9,school,Northern Virginia,4
2022-2023,29,Fairfax County,1850,Lees Corner Elementary,SBP,Suspension of Bus Privileges,1,1,school,Northern Virginia,4
2022-2023,29,Fairfax County,770,Lemon Road Elementary,CR,Class Removal (less than 1/2 day),32,20,school,Northern Virginia,4
2022-2023,29,Fairfax County,770,Lemon Road Elementary,ISS,In-School Suspension (1/2 day or more),8,8,school,Northern Virginia,4
2022-2023,29,Fairfax County,770,Lemon Road Elementary,LOP,Loss of School Privileges or Participation in Extr,7,7,school,Northern Virginia,4
2022-2023,29,Fairfax County,770,Lemon Road Elementary,OSS,Out of school suspension by School Admin,14,7,school,Northern Virginia,4
2022-2023,29,Fairfax County,1020,Lewis High,ALT,Alternative Program Placement,9,9,school,Northern Virginia,4
2022-2023,29,Fairfax County,1020,Lewis High,CR,Class Removal (less than 1/2 day),127,93,school,Northern Virginia,4
2022-2023,29,Fairfax County,1020,Lewis High,DS,Detention Sanction Outside of Regular School Hours,232,179,school,Northern Virginia,4
2022-2023,29,Fairfax County,1020,Lewis High,ISS,In-School Suspension (1/2 day or more),350,204,school,Northern Virginia,4
2022-2023,29,Fairfax County,1020,Lewis High,LOP,Loss of School Privileges or Participation in Extr,142,105,school,Northern Virginia,4
2022-2023,29,Fairfax County,1020,Lewis High,OSS,Out of school suspension by Division Admin,12,11,school,Northern Virginia,4
2022-2023,29,Fairfax County,1020,Lewis High,OSS,Out of school suspension by School Admin,122,82,school,Northern Virginia,4
2022-2023,29,Fairfax County,1020,Lewis High,SBCS,School-based Community Service Assigned,9,9,school,Northern Virginia,4
2022-2023,29,Fairfax County,1020,Lewis High,SBP,Suspension of Bus Privileges,2,2,school,Northern Virginia,4
2022-2023,29,Fairfax County,2233,Liberty Middle,ALT,Alternative Program Placement,6,6,school,Northern Virginia,4
2022-2023,29,Fairfax County,2233,Liberty Middle,CR,Class Removal (less than 1/2 day),121,68,school,Northern Virginia,4
2022-2023,29,Fairfax County,2233,Liberty Middle,DS,Detention Sanction Outside of Regular School Hours,8,5,school,Northern Virginia,4
2022-2023,29,Fairfax County,2233,Liberty Middle,ISS,In-School Suspension (1/2 day or more),96,63,school,Northern Virginia,4
2022-2023,29,Fairfax County,2233,Liberty Middle,LOP,Loss of School Privileges or Participation in Extr,163,92,school,Northern Virginia,4
2022-2023,29,Fairfax County,2233,Liberty Middle,OSS,Out of school suspension by Division Admin,2,2,school,Northern Virginia,4
2022-2023,29,Fairfax County,2233,Liberty Middle,OSS,Out of school suspension by School Admin,52,31,school,Northern Virginia,4
2022-2023,29,Fairfax County,2233,Liberty Middle,SBCS,School-based Community Service Assigned,1,1,school,Northern Virginia,4
2022-2023,29,Fairfax County,1400,Little Run Elementary,CR,Class Removal (less than 1/2 day),15,14,school,Northern Virginia,4
2022-2023,29,Fairfax County,1400,Little Run Elementary,ISS,In-School Suspension (1/2 day or more),1,1,school,Northern Virginia,4
2022-2023,29,Fairfax County,1400,Little Run Elementary,OSS,Out of school suspension by School Admin,1,1,school,Northern Virginia,4
2022-2023,29,Fairfax County,1830,London Towne Elementary,CR,Class Removal (less than 1/2 day),89,46,school,Northern Virginia,4
2022-2023,29,Fairfax County,1830,London Towne Elementary,ISS,In-School Suspension (1/2 day or more),17,17,school,Northern Virginia,4
2022-2023,29,Fairfax County,1830,London Towne Elementary,LOP,Loss of School Privileges or Participation in Extr,19,15,school,Northern Virginia,4
2022-2023,29,Fairfax County,1830,London Towne Elementary,OSS,Out of school suspension by Division Admin,1,1,school,Northern Virginia,4
2022-2023,29,Fairfax County,1830,London Towne Elementary,OSS,Out of school suspension by School Admin,25,19,school,Northern Virginia,4
2022-2023,29,Fairfax County,1830,London Towne Elementary,SBCS,School-based Community Service Assigned,2,2,school,Northern Virginia,4
2022-2023,29,Fairfax County,1830,London Towne Elementary,SBP,Suspension of Bus Privileges,1,1,school,Northern Virginia,4
2022-2023,29,Fairfax County,1150,Longfellow Middle,ALT,Alternative Program Placement,8,8,school,Northern Virginia,4
2022-2023,29,Fairfax County,1150,Longfellow Middle,CR,Class Removal (less than 1/2 day),58,45,school,Northern Virginia,4
2022-2023,29,Fairfax County,1150,Longfellow Middle,DS,Detention Sanction Outside of Regular School Hours,11,11,school,Northern Virginia,4
2022-2023,29,Fairfax County,1150,Longfellow Middle,ISS,In-School Suspension (1/2 day or more),96,69,school,Northern Virginia,4
2022-2023,29,Fairfax County,1150,Longfellow Middle,LOP,Loss of School Privileges or Participation in Extr,68,48,school,Northern Virginia,4
2022-2023,29,Fairfax County,1150,Longfellow Middle,OSS,Out of school suspension by Division Admin,9,9,school,Northern Virginia,4
2022-2023,29,Fairfax County,1150,Longfellow Middle,OSS,Out of school suspension by School Admin,17,13,school,Northern Virginia,4
2022-2023,29,Fairfax County,1150,Longfellow Middle,SBCS,School-based Community Service Assigned,1,1,school,Northern Virginia,4
2022-2023,29,Fairfax County,2236,Lorton Station Elementary,ALT,Alternative Program Placement,1,1,school,Northern Virginia,4
2022-2023,29,Fairfax County,2236,Lorton Station Elementary,CR,Class Removal (less than 1/2 day),1,1,school,Northern Virginia,4
2022-2023,29,Fairfax County,2236,Lorton Station Elementary,ISS,In-School Suspension (1/2 day or more),37,28,school,Northern Virginia,4
2022-2023,29,Fairfax County,2236,Lorton Station Elementary,OSS,Out of school suspension by Division Admin,1,1,school,Northern Virginia,4
2022-2023,29,Fairfax County,2236,Lorton Station Elementary,OSS,Out of school suspension by School Admin,47,24,school,Northern Virginia,4
2022-2023,29,Fairfax County,890,Lynbrook Elementary,CR,Class Removal (less than 1/2 day),138,75,school,Northern Virginia,4
2022-2023,29,Fairfax County,890,Lynbrook Elementary,ISS,In-School Suspension (1/2 day or more),66,52,school,Northern Virginia,4
2022-2023,29,Fairfax County,890,Lynbrook Elementary,LOP,Loss of School Privileges or Participation in Extr,10,10,school,Northern Virginia,4
2022-2023,29,Fairfax County,890,Lynbrook Elementary,OSS,Out of school suspension by School Admin,28,23,school,Northern Virginia,4
2022-2023,29,Fairfax County,890,Lynbrook Elementary,SBP,Suspension of Bus Privileges,18,17,school,Northern Virginia,4
2022-2023,29,Fairfax County,1060,Madison High,CR,Class Removal (less than 1/2 day),37,28,school,Northern Virginia,4
2022-2023,29,Fairfax County,1060,Madison High,ISS,In-School Suspension (1/2 day or more),76,56,school,Northern Virginia,4
2022-2023,29,Fairfax County,1060,Madison High,LOP,Loss of School Privileges or Participation in Extr,308,178,school,Northern Virginia,4
2022-2023,29,Fairfax County,1060,Madison High,OSS,Out of school suspension by School Admin,32,21,school,Northern Virginia,4
2022-2023,29,Fairfax County,1210,Mantua Elementary,CR,Class Removal (less than 1/2 day),34,21,school,Northern Virginia,4
2022-2023,29,Fairfax County,1210,Mantua Elementary,ISS,In-School Suspension (1/2 day or more),6,6,school,Northern Virginia,4
2022-2023,29,Fairfax County,1210,Mantua Elementary,LOP,Loss of School Privileges or Participation in Extr,12,7,school,Northern Virginia,4
2022-2023,29,Fairfax County,1210,Mantua Elementary,OSS,Out of school suspension by School Admin,24,16,school,Northern Virginia,4
2022-2023,29,Fairfax County,1290,Marshall High,ALT,Alternative Program Placement,5,5,school,Northern Virginia,4
2022-2023,29,Fairfax County,1290,Marshall High,CR,Class Removal (less than 1/2 day),28,25,school,Northern Virginia,4
2022-2023,29,Fairfax County,1290,Marshall High,DS,Detention Sanction Outside of Regular School Hours,12,10,school,Northern Virginia,4
2022-2023,29,Fairfax County,1290,Marshall High,ISS,In-School Suspension (1/2 day or more),91,66,school,Northern Virginia,4
2022-2023,29,Fairfax County,1290,Marshall High,LOP,Loss of School Privileges or Participation in Extr,65,54,school,Northern Virginia,4
2022-2023,29,Fairfax County,1290,Marshall High,OSS,Out of school suspension by Division Admin,2,2,school,Northern Virginia,4
2022-2023,29,Fairfax County,1290,Marshall High,OSS,Out of school suspension by School Admin,47,34,school,Northern Virginia,4
2022-2023,29,Fairfax County,1200,Marshall Road Elementary,ISS,In-School Suspension (1/2 day or more),3,3,school,Northern Virginia,4
2022-2023,29,Fairfax County,1200,Marshall Road Elementary,OSS,Out of school suspension by School Admin,1,1,school,Northern Virginia,4
2022-2023,29,Fairfax County,2410,Mason Crest Elementary,ISS,In-School Suspension (1/2 day or more),12,7,school,Northern Virginia,4
2022-2023,29,Fairfax County,2410,Mason Crest Elementary,OSS,Out of school suspension by School Admin,7,4,school,Northern Virginia,4
2022-2023,29,Fairfax County,2410,Mason Crest Elementary,SBP,Suspension of Bus Privileges,2,2,school,Northern Virginia,4
2022-2023,29,Fairfax County,790,McLean High,ALT,Alternative Program Placement,1,1,school,Northern Virginia,4
2022-2023,29,Fairfax County,790,McLean High,CR,Class Removal (less than 1/2 day),53,43,school,Northern Virginia,4
2022-2023,29,Fairfax County,790,McLean High,DS,Detention Sanction Outside of Regular School Hours,35,33,school,Northern Virginia,4
2022-2023,29,Fairfax County,790,McLean High,ISS,In-School Suspension (1/2 day or more),62,48,school,Northern Virginia,4
