school_year,division_number,ft_count,pt_count,total_count,locality_grouping,region_name,region_number,division_name,n_disadv_students,school_number,sch_id,school_name
2022-2023,016,7873,NA,7873,division,Valley,5,Campbell County,3833,NA,NA,NA
2022-2023,017,4337,NA,4337,division,Northern Neck,3,Caroline County,2167,NA,NA,NA
2022-2023,018,3505,2,3507,division,Southwest,7,Carroll County,1975,NA,NA,NA
2022-2023,019,562,NA,562,division,Central Virginia,1,Charles City County,354,NA,NA,NA
2022-2023,020,1668,NA,1668,division,Southside,8,Charlotte County,907,NA,NA,NA
2022-2023,104,4485,6,4491,division,Valley,5,Charlottesville City,2404,NA,NA,NA
2022-2023,136,40821,NA,40821,division,Tidewater,2,Chesapeake City,16378,NA,NA,NA
2022-2023,021,63916,46,63962,division,Central Virginia,1,Chesterfield County,23947,NA,NA,NA
2022-2023,022,1892,2,1894,division,Northern Virginia,4,Clarke County,567,NA,NA,NA
2022-2023,202,574,NA,574,division,Northern Neck,3,Colonial Beach,297,NA,NA,NA
2022-2023,106,2843,NA,2843,division,Central Virginia,1,Colonial Heights City,1637,NA,NA,NA
2022-2023,023,476,NA,476,division,Western Virginia,6,Craig County,247,NA,NA,NA
2022-2023,024,8353,NA,8353,division,Northern Virginia,4,Culpeper County,4063,NA,NA,NA
2022-2023,025,1283,NA,1283,division,Southside,8,Cumberland County,638,NA,NA,NA
2022-2023,108,5685,NA,5685,division,Western Virginia,6,Danville City,4593,NA,NA,NA
2022-2023,026,1946,NA,1946,division,Southwest,7,Dickenson County,1216,NA,NA,NA
2022-2023,027,4257,NA,4257,division,Central Virginia,1,Dinwiddie County,2440,NA,NA,NA
2022-2023,028,1181,NA,1181,division,Northern Neck,3,Essex County,614,NA,NA,NA
2022-2023,029,180100,27,180127,division,Northern Virginia,4,Fairfax County,67126,NA,NA,NA
2022-2023,109,2507,NA,2507,division,Northern Virginia,4,Falls Church City,166,NA,NA,NA
2022-2023,030,10839,NA,10839,division,Northern Virginia,4,Fauquier County,3448,NA,NA,NA
