label,locality_grouping,name,value
Winchester City,division,staff_per_1k_students,6.086657496561211
Wise County,division,pct_disadv,64.71707907942552
Wise County,division,staff_per_1k_students,6.310780411835958
Wythe County,division,pct_disadv,47.53879079721776
Wythe County,division,staff_per_1k_students,6.581059390048154
York County,division,pct_disadv,29.776937618147446
York County,division,staff_per_1k_students,5.4442344045368625
Arcadia High,school,pct_disadv,71.07558139534885
Arcadia High,school,staff_per_1k_students,4.3604651162790695
Arcadia Middle,school,pct_disadv,81.2366737739872
Arcadia Middle,school,staff_per_1k_students,4.264392324093817
Chincoteague High,school,pct_disadv,49.44649446494465
Chincoteague High,school,staff_per_1k_students,3.690036900369003
Nandua High,school,pct_disadv,69.08212560386472
Nandua High,school,staff_per_1k_students,4.830917874396135
Nandua Middle,school,pct_disadv,72.24669603524228
Nandua Middle,school,staff_per_1k_students,6.607929515418502
Albemarle High,school,pct_disadv,29.620253164556964
Albemarle High,school,staff_per_1k_students,10.379746835443038
Community Lab School,school,pct_disadv,NA
Community Lab School,school,staff_per_1k_students,16.101694915254235
Jackson P. Burley Middle,school,pct_disadv,37.19626168224299
Jackson P. Burley Middle,school,staff_per_1k_students,5.607476635514018
Joseph T. Henley Middle,school,pct_disadv,12.868949232585598
Joseph T. Henley Middle,school,staff_per_1k_students,5.112160566706022
Journey Middle,school,pct_disadv,44.907407407407405
Journey Middle,school,staff_per_1k_students,7.716049382716049
Lakeside Middle,school,pct_disadv,25.217391304347824
Lakeside Middle,school,staff_per_1k_students,5.217391304347826
Leslie H. Walton Middle,school,pct_disadv,32.743362831858406
Leslie H. Walton Middle,school,staff_per_1k_students,8.849557522123893
Monticello High,school,pct_disadv,31.318219983207392
Monticello High,school,staff_per_1k_students,8.39630562552477
Western Albemarle High,school,pct_disadv,11.852433281004709
Western Albemarle High,school,staff_per_1k_students,6.279434850863423
Alexandria City High,school,pct_disadv,42.44434931506849
Alexandria City High,school,staff_per_1k_students,14.875856164383562
Francis C. Hammond Middle,school,pct_disadv,52.911709455228554
Francis C. Hammond Middle,school,staff_per_1k_students,15.028177833437695
George Washington Middle,school,pct_disadv,43.912448700410394
George Washington Middle,school,staff_per_1k_students,15.047879616963064
Alleghany High,school,pct_disadv,46.15384615384615
Alleghany High,school,staff_per_1k_students,3.663003663003663
Covington Middle,school,pct_disadv,46.464646464646464
Covington Middle,school,staff_per_1k_students,3.3670033670033668
Amelia County High,school,pct_disadv,50.3875968992248
Amelia County High,school,staff_per_1k_students,3.875968992248062
Amelia County Middle,school,pct_disadv,54.57516339869281
Amelia County Middle,school,staff_per_1k_students,6.5359477124183005
Amherst County High,school,pct_disadv,59.51612903225807
Amherst County High,school,staff_per_1k_students,4.032258064516129
Amherst Middle,school,pct_disadv,50.673854447439346
Amherst Middle,school,staff_per_1k_students,2.6954177897574128
Monelison Middle,school,pct_disadv,58.2089552238806
Monelison Middle,school,staff_per_1k_students,4.264392324093817
Appomattox County High,school,pct_disadv,41.17647058823529
Appomattox County High,school,staff_per_1k_students,5.471956224350205
Appomattox Middle,school,pct_disadv,42.066420664206646
Appomattox Middle,school,staff_per_1k_students,9.22509225092251
Arlington Community High,school,pct_disadv,16.025641025641026
Arlington Community High,school,staff_per_1k_students,22.43589743589743
Dorothy Hamm Middle,school,pct_disadv,19.57618567103935
Dorothy Hamm Middle,school,staff_per_1k_students,7.568113017154389
Gunston Middle,school,pct_disadv,33.33333333333333
Gunston Middle,school,staff_per_1k_students,7.4487895716946
Jefferson Middle,school,pct_disadv,45.673505798394295
Jefferson Middle,school,staff_per_1k_students,8.474576271186441
Kenmore Middle,school,pct_disadv,33.27014218009479
Kenmore Middle,school,staff_per_1k_students,8.530805687203792
Swanson Middle,school,pct_disadv,21.227364185110662
Swanson Middle,school,staff_per_1k_students,6.5392354124748495
Wakefield High,school,pct_disadv,29.675716440422324
Wakefield High,school,staff_per_1k_students,7.352941176470588
Washington-Liberty High,school,pct_disadv,29.475409836065573
Washington-Liberty High,school,staff_per_1k_students,6.426229508196722
Williamsburg Middle,school,pct_disadv,2.6837806301050176
Williamsburg Middle,school,staff_per_1k_students,4.667444574095682
Yorktown High,school,pct_disadv,16.153846153846153
Yorktown High,school,staff_per_1k_students,6.5
Buffalo Gap High,school,pct_disadv,30.73170731707317
Buffalo Gap High,school,staff_per_1k_students,4.878048780487805
Buffalo Gap Middle,school,pct_disadv,33.33333333333333
Buffalo Gap Middle,school,staff_per_1k_students,7.017543859649123
Fort Defiance High,school,pct_disadv,36.11491108071135
Fort Defiance High,school,staff_per_1k_students,5.471956224350205
Riverheads High,school,pct_disadv,33.190578158458244
Riverheads High,school,staff_per_1k_students,4.282655246252677
Riverheads Middle,school,pct_disadv,31.420765027322407
Riverheads Middle,school,staff_per_1k_students,8.196721311475411
S. Gordon Stewart Middle,school,pct_disadv,34.883720930232556
S. Gordon Stewart Middle,school,staff_per_1k_students,9.689922480620154
Stuarts Draft High,school,pct_disadv,35.17964071856288
Stuarts Draft High,school,staff_per_1k_students,4.985029940119761
Stuarts Draft Middle,school,pct_disadv,34.63035019455253
Stuarts Draft Middle,school,staff_per_1k_students,6.3229571984435795
Wilson Memorial High,school,pct_disadv,31.42174432497013
Wilson Memorial High,school,staff_per_1k_students,3.5842293906810037
Wilson Middle,school,pct_disadv,39.93759750390016
Wilson Middle,school,staff_per_1k_students,6.240249609984399
Bath County High,school,pct_disadv,38.46153846153847
Bath County High,school,staff_per_1k_students,5.4945054945054945
